Tempo (ms),(B) INTERCEPT_ORIG_TEMPO,(C) TVD (metros),(A) PSTM_COR
2028,-0.0131276,2106.9533798,7671.3515625
2032,-0.0068337,2112.7500465,5181.0625
2036,0.0034127,2118.4247234,2958.9775391
2040,0.0035255,2124.2183102,4164.0429688
2044,-0.0100801,2130.0140646,7220.09375
2048,-0.0210186,2135.6164128,7215.6171875
2052,-0.0124836,2141.0618763,1976.2062988
2056,0.0078624,2146.4489761,-5396.0898438
2060,0.0176949,2152.0089251,-10264.1328125
2064,0.0119713,2157.8359755,-11125.4960938
2068,0.0055869,2163.44064,-9499.8476563
2072,0.0051172,2168.8825945,-6388.6953125
2076,0.00286,2174.8524312,-1803.184082
2080,-0.0014169,2180.5282232,2775.1333008
2084,-0.0013409,2186.122337,5325.4765625
2088,-0.0035824,2191.760424,6527.6640625
2092,-0.017157,2197.6226639,7977.5898438
2096,-0.0282733,2203.3476862,8210.25
2100,-0.0147366,2208.6920863,4636.5546875
2104,0.0168756,2214.2832789,-2464.5808105
2108,0.0334433,2219.9176594,-9409.1484375
2112,0.0186446,2225.8476528,-10850.4257813
2116,-0.0049589,2231.9179493,-4804.359375
2120,-0.0081657,2237.6905312,3514.529541
2124,0.0059192,2243.5808615,7177.1367188
2128,0.0135373,2249.8902535,5210.0625
2132,0.0069876,2255.9917256,1632.0021973
2136,-0.0022177,2262.1356784,-156.9193573
2140,-0.0051011,2268.4598354,-613.0273438
2144,-0.0027957,2274.7738281,-2454.7995605
2148,-0.0014171,2281.0317545,-6004.578125
2152,-0.0065464,2287.2393313,-8465.6054688
2156,-0.0154566,2293.4481141,-7365.84375
2160,-0.0172564,2299.4159378,-2859.2768555
2164,-0.007992,2305.1161174,2123.6787109
2168,0.0036542,2310.9658059,4361.2148438
2172,0.0119673,2316.8150119,3614.3659668
2176,0.0191474,2322.7533043,2576.4213867
2180,0.0204779,2328.8750969,3957.1230469
2184,0.0073765,2335.1252185,7552.0195313
2188,-0.0124892,2341.1365533,9949.1484375
2192,-0.0212429,2347.0946225,8011.4257813
2196,-0.0155103,2352.8540287,2231.8874512
2200,-0.0059274,2358.7481656,-4126.6601563
2204,0.001652,2364.4794044,-8322.015625
2208,0.0071388,2370.15922,-9453.7421875
2212,0.0073887,2376.0318126,-7112.46875
2216,0.0032711,2381.927966,-2117.5854492
2220,0.0058886,2387.7692225,1791.9243164
2224,0.0193853,2393.3900165,1984.7919922
2228,0.0263381,2399.3534001,669.4399414
2232,0.0062764,2405.346575,954.0544434
2236,-0.0350888,2411.3158306,2708.5563965
2240,-0.0655485,2416.9460706,3677.6069336
2244,-0.05526,2422.30437,2451.5976563
2248,-0.0061553,2427.5004562,104.9958496
2252,0.0446611,2432.8825574,-1403.0893555
2256,0.0569142,2438.793614,-1780.8825684
2260,0.0274925,2444.8598442,-1817.1821289
2264,-0.0069958,2450.8859939,-1308.137207
2268,-0.0097754,2456.9911403,435.1560059
2272,0.0182404,2462.9551484,2266.2724609
2276,0.0401895,2469.1634226,1819.9633789
2280,0.0235229,2475.9657404,-829.6135254
2284,-0.0227475,2482.6663671,-2472.1345215
2288,-0.058059,2489.0038578,-1054.8452148
2292,-0.0543142,2495.0991639,1232.1401367
2296,-0.0194826,2501.0746667,973.362793
2300,0.0182123,2507.0921364,-1649.8776855
2304,0.0368999,2513.2809778,-3284.097168
2308,0.0319128,2519.5796368,-2265.7883301
2312,0.0114334,2525.9962575,-547.9331055
2316,-0.0107359,2532.4539286,-200.6851044
2320,-0.0214328,2538.8463114,-561.8881836
2324,-0.0163335,2545.1005873,-157.6047974
2328,-0.0040442,2551.3537865,834.1665039
2332,0.0034409,2557.7675954,1556.824707
2336,0.0043969,2564.1936248,2190.4736328
2340,0.0055287,2570.6596962,3103.737793
2344,0.0087752,2577.0760926,3528.7409668
2348,0.0095053,2583.725757,2725.7832031
2352,0.0068212,2590.4874715,1537.5883789
2356,0.0042201,2597.0748579,1100.107666
2360,0.0003325,2603.7880346,679.2475586
2364,-0.0082977,2610.6478725,-1037.9880371
2368,-0.0155423,2617.4475449,-3264.5397949
2372,-0.0100694,2624.1665094,-4448.3710938
2376,0.0069478,2630.9073921,-4639.8359375
2380,0.0183281,2637.5411602,-4145.2851563
2384,0.009712,2644.3585087,-2350.0505371
2388,-0.0112033,2651.3910766,875.8476563
2392,-0.0211119,2658.0839938,4093.6567383
2396,-0.0093323,2664.628947,4916.7070313
2400,0.009059,2671.2261107,2173.0949707
2404,0.0136361,2677.920944,-2325.3657227
2408,0.0030214,2684.6969052,-4878.6289063
2412,-0.0077164,2691.479417,-3331.2521973
2416,-0.0072136,2698.0419374,781.677002
2420,0.0019827,2704.7866781,3935.6589355
2424,0.0101615,2711.4708511,3537.3796387
2428,0.0100546,2718.242319,-458.7717285
2432,0.0011248,2725.0291753,-5223.1445313
2436,-0.0090106,2731.8489209,-6959.21875
2440,-0.0101206,2738.5415957,-4114.8867188
2444,-0.002339,2745.0188043,1559.9135742
2448,0.002803,2751.6887926,6653.390625
2452,0.0007785,2758.3972721,8551.4023438
2456,0.0021145,2765.0441717,7361.1523438
2460,0.0115374,2771.4739393,4801.71875
2464,0.0130522,2778.2005589,1578.1066895
2468,-0.006279,2784.991876,-2118.8789063
2472,-0.0280497,2791.5853987,-4980.7851563
2476,-0.0218336,2797.9077663,-5306.203125
2480,0.0091986,2804.002286,-3186.3693848
2484,0.0269727,2810.5874024,-836.614502
2488,0.0087608,2817.2771267,48.4502563
2492,-0.0236088,2823.7468818,-189.8421936
2496,-0.0335263,2829.9777562,-1046.5549316
2500,-0.0104319,2836.2483733,-2628.9187012
2504,0.024588,2842.4653511,-3607.1887207
2508,0.0404878,2849.0421294,-1848.2019043
2512,0.0238049,2855.8644893,2002.0993652
2516,-0.0077279,2862.816563,4661.6992188
2520,-0.0240437,2869.4920634,4415.4414063
2524,-0.015307,2876.1548427,3105.736084
2528,0.0036056,2883.0110324,3286.4509277
2532,0.0153679,2889.84652,4581.5664063
